word,count,file
sıftı,17,
"diye,",17,
dewa,17,
Ferisiyan,17,
bêbextiye,17,
danê,17,
nêşkinê,17,
"sera,",17,
pili,17,
Luka,16,
ser,16,
sa,16,
"hurindi,",16,
hente,16,
hukumdariya,16,
iy'a,16,
Heqê,16,
50,16,
"vatenı,",16,
inan'a,16,
"vêneno,",16,
"sırı,",16,
nanê,16,
top,16,
iy.,16,
nist,16,
rew,16,
wastenê,16,
veciya,16,
düan,16,
êna,16,
nêkeno.,16,
Mordemi\w*,16,
mın.,16,
"rê,",16,
şiyo,16,
telebi,16,
biyo.,16,
Marta,16,
Lazari,16,
bêaxıriye,16,
niy,15,
Elizabetı,15,
Musay,15,
amenê,15,
Mabedı,15,
sırı,15,
ucay,15,
mandi,15,
zerrı,15,
kuti,15,
Namê,15,
"to,",15,
hirê,15,
mandi.,15,
mand.,15,
mıleto,15,
we.,15,
roci,15,
“Ekı,15,
"şi,",15,
danan,15,
Qe,15,
rusnay,15,
/,15,
duri,15,
bızanerê,15,
nani,15,
dewam,15,
Ferisi,15,
bıvênero.,15,
nêkenê.,15,
endi,15,
Samirye,15,
sêro,15,
"amo,",15,
qıralê,15,
Yahuday,15,
"""Ekı",15,
"wes,",14,
teber,14,
roê,14,
rastê,14,
zana,14,
bımbarek,14,
ra.”,14,
rusna,14,
Qıral,14,
vanê,14,
Senên,14,
tepia,14,
51,14,
52,14,
bi;,14,
kerdı:,14,
Usıv,14,
Gorê,14,
kerdenê,14,
merdi,14,
"“Malım,",14,
kerdı,14,
wes.,14,
golı,14,
"waxt,",14,
vêreno,14,
esto,14,
eşino,14,
"nêkeno,",14,
niyo.,14,
kuno,14,
zerrê,14,
cao,13,
tayênan,13,
“Ez,13,
kerdê,13,
"veciya,",13,
kênekı,13,
“No,13,
eşiyê,13,
Kam,13,
53,13,
ard,13,
mordemanê,13,
bado,13,
dardi,13,
kerdenı\w*,13,
waxto,13,
gırot,13,
vera,13,
çı,13,
ilimdaranê,13,
nêzanê,13,
"ray,",13,
xoyê,13,
"biyenê,",13,
To,13,
Kıtabo,13,
Simuni,13,
masi,13,
mınetı,13,
"bıvênero,",13,
"bıvênerê,",13,
cı.,13,
cıni,13,
gonia,13,
Teleban,13,
Waxto,12,
"biye,",12,
Zekeriyay,12,
tay,12,
fındeti,12,
ênê,12,
mordemo,12,
Heqo,12,
"iy,",12,
Çiyo,12,
"kı,",12,
gırsi,12,
gırs,12,
dina.,12,
"niyo,",12,
bena,12,
yaban,12,
Yeruşalimi,12,
Ninan,12,
bıxo,12,
Heqi'a,12,
"kerê,",12,
dero.,12,
vano:,12,
Yahuda,12,
nêvêneno.,12,
Cındıki\w*,12,
vırniye,12,
itıqati\w*,12,
zobina,12,
itıqati,12,
herd,12,
"sukı,",12,
kıncê,12,
xonça,12,
cinıkê,12,
çino,12,
sêri,12,
\f*,11,
"estê,",11,
lacek,11,
vırniya,11,
kero.,11,
"tepia,",11,
"vênenê,",11,
cêr,11,
54,11,
Waxtê,11,
dero,11,
biyenê,11,
gunan,11,
‘Ma,11,
Eskeran,11,
"mıleti,",11,
gêra,11,
nêweşiya,11,
bin,11,
havalê,11,
çıqa,11,
nisti,11,
aqlê,11,
gênê,11,
nêbeno.,11,
werdi,11,
bıvênerê,11,
zanım,11,
muskıno,11,
zanenê,11,
sılametiye,11,
wazenê,11,
"gırotı,",11,
mao,11,
şiyenê.,11,
ilimdarê,11,
mekerê.,11,
biya,11,
teleban,11,
wastena,11,
bıdı,11,
jüyo,11,
nêvênenê.,11,
variyetın,11,
ver.,11,
meywı,11,
"teber,",11,
Lazar,11,
mınê,11,
bêaxıriye.,11,
xebera,10,
gırotı.,10,
Hirodesi,10,
gırsı,10,
doman,10,
Mıleto,10,
“Ma,10,
"berco,",10,
vatenê,10,
cinıkan,10,
yardım,10,
verênan,10,
tici,10,
pêxemberan,10,
qıckeki,10,
Saba,10,
denê,10,
hurindia,10,
nêkerd.,10,
gunanê,10,
"kerdenı,",10,
vat,10,
peran,10,
"kenan,",10,
Pi,10,
Seytani,10,
rındekê,10,
Cinıkı,10,
"Rocê,",10,
derg,10,
gunay,10,
Mêrık,10,
Ferisiyan|Ferisi\w*,10,
Tay,10,
rındinı,10,
hawariyanê,10,
ğeji,10,
"vanan,",10,
"vacerê,",10,
eşinê,10,
sono,10,
Qesa,10,
cınan,10,
xuli,10,
"dest,",10,
hirêyını,10,
nêkenan.,10,
vanay,10,
"""Ez",10,
Ê,9,
pırr.,9,
İsraili,9,
"nêkenê,",9,
khalıkê,9,
Bımbarek\w*,9,
lêwı,9,
yardımê,9,
55,9,
56,9,
pi,9,
"ma,",9,
xelesnay,9,
qulini,9,
cor,9,
kıtabê,9,
tari,9,
yaji,9,
qeseyê,9,
alametı,9,
teber.,9,
amê,9,
sêrê,9,
serrio,9,
tobı|Tobı,9,
"benê,",9,
kemeran,9,
"çino,",9,
xavra,9,
welati,9,
viyay,9,
"war,",9,
qalê,9,
Yeruşalimi|Yeruşalim\w*,9,
nêşkiyay,9,
kamo?,9,
"pay,",9,
Telebê,9,
nanênı,9,
şeraba,9,
vêrnenê,9,
kerdı.,9,
Mêrıko,9,
nanêni,9,
Wey,9,
Dı,9,
biyo,9,
"da,",9,
‘\w,9,
“Kamo,9,
zanan,9,
biyê,9,
Petrus,9,
"rusnan,",9,
nejdi,9,
Lac,9,
do,9,
kayê,9,
makum,9,
"arê,",9,
ceza,9,
serı,9,
"vaceri,",9,
nêkenan,9,
kırametı,9,
Markusi,9,
"""Ezi",9,
"nêvênenê,",9,
rusnan.,9,
"kerda,",8,
"biyê,",8,
gorê,8,
Zekeriya,8,
teni,8,
"lêwı,",8,
boya,8,
pıra.,8,
bıberê,8,
fekê,8,
raver,8,
amayena,8,
ciniya,8,
bıderi,8,
Rocê,8,
