word,count,file
,6218,
"0,",558,
"19),",382,
"23),",224,
"11),",159,
"2),",140,
"18),",126,
"15),",123,
=,80,
"6,",76,
"4),",72,
"5),",70,
"6),",65,
"17),",58,
"2,",51,
"1,",46,
"8),",42,
"14),",42,
"22,",41,
"21,",37,
the,37,
"25,",35,
"9),",29,
"40,",29,
"10,",26,
"13,",26,
"9,",25,
"14,",24,
"5,",22,
"12,",22,
"20,",22,
"11,",21,
"16,",21,
for,20,
"3,",19,
"85,",19,
in,19,
"15,",18,
"17,",18,
"77,",18,
"3),",17,
"30,",17,
"61,",17,
of,17,
a,17,
"7),",16,
"13),",16,
"35,",16,
file,15,
"24,",14,
"66,",14,
"78,",14,
to,14,
with,14,
"18,",13,
"31,",13,
"84,",13,
"76,",13,
"22),",12,
"45,",12,
"12),",11,
"58,",11,
"60,",11,
if,11,
import,10,
"16),",10,
"19,",10,
"92,",10,
"91,",10,
count,10,
return,10,
csv,9,
"54,",9,
"81,",9,
"23,",9,
"33,",9,
"99,",9,
"101,",9,
==,9,
#,8,
as,8,
"1),",8,
"67,",8,
"93,",8,
def,8,
',8,
"4,",7,
"7,",7,
"65,",7,
"55,",7,
"47,",7,
"95,",7,
The,7,
character,7,
files,7,
"10),",6,
"69,",6,
"70,",6,
"51,",6,
function,6,
is,6,
files.,6,
file.,6,
"""""""",6,
1,6,
c,6,
elif,6,
data,6,
"c[""char""]",6,
then,6,
Counter,5,
"27,",5,
"32,",5,
"83,",5,
"98,",5,
''',5,
and,5,
ord(character),5,
"c[""name""]",5,
or,5,
"""",5,
column,5,
from,4,
"24),",4,
"28,",4,
"53,",4,
"68,",4,
"57,",4,
"36,",4,
"71,",4,
"72,",4,
"38,",4,
"59,",4,
reads,4,
0,4,
-,4,
+,4,
>,4,
about,4,
that,4,
column_headers,4,
"encoding='utf-8',",4,
newline=''),4,
csvfile:,4,
writer,4,
"csv.DictWriter(csvfile,",4,
fieldnames=column_headers),4,
output_folder,4,
/,4,
:,4,
dt.datetime.now(),4,
just,4,
utf-8,3,
"34,",3,
"8,",3,
"94,",3,
"41,",3,
"44,",3,
"82,",3,
"86,",3,
"63,",3,
"87,",3,
"62,",3,
each,3,
single,3,
characters,3,
only,3,
file:,3,
Counter(),3,
line,3,
word,3,
words,3,
r,3,
m,3,
else:,3,
up,3,
headers,3,
are,3,
list,3,
dictionaries,3,
[],3,
"type=str,",3,
extension,3,
filename,3,
#Keep,3,
all,3,
filecount,3,
this,3,
+=,3,
write,3,
seconds,3,
-*-,2,
collections,2,
"0),",2,
"29,",2,
"42,",2,
"43,",2,
"46,",2,
"56,",2,
"64,",2,
"37,",2,
"48,",2,
"50,",2,
"75,",2,
"96,",2,
"79,",2,
"88,",2,
"89,",2,
"100,",2,
main,2,
number,2,
times,2,
appears,2,
This,2,
returns,2,
Any,2,
non,2,
UTF-8,2,
will,2,
throw,2,
an,2,
error.,2,
"entered!\n"")",2,
"{filename}"")",2,
char_count,2,
"open(filename,",2,
"'r',",2,
encoding='utf-8'),2,
infile:,2,
lines,2,
infile.readlines(),2,
"lineno,",2,
enumerate(lines):,2,
word_count,2,
unicode,2,
l,2,
<,2,
lots,2,
it.,2,
"characters,",2,
mess,2,
output,2,
10:,2,
overwrite,2,
If,2,
defined,2,
existing,2,
at,2,
"open(outfile,",2,
"'w',",2,
writer.writeheader(),2,
writer.writerows(row_data),2,
"'a',",2,
print(f'Wrote,2,
"""""):",2,
Given,2,
has,2,
counted,2,
occurrences,2,
character_data,2,
word_data,2,
"type=Path,",2,
"help=""Folder",2,
default,2,
read.,2,
folder,2,
"help=""The",2,
summary,2,
"file."")",2,
files_found,2,
files_found:,2,
else,2,
list(),2,
all_word_data,2,
total,2,
files_size,2,
sys.stdout.flush(),2,
do,2,
first,2,
"open(detail_csv_file,",2,
word_dict,2,
words_list:,2,
writer.writerow(word_dict),2,
_________________________This,2,
section,2,
feedback,2,
___________________________,2,
filesize,2,
time_taken,2,
"print(f""Reading",2,
{count},2,
"{file}"")",2,
"print(f""It",2,
took,2,
{seconds},2,
process,2,
{files_size},2,
bytes.,2,
Ave:,2,
{int(files_size,2,
(seconds*1024))},2,
"b/second.\n"")",2,
#!/usr/bin/env,1,
python3,1,
coding:,1,
argparse,1,
os,1,
sys,1,
unicodedata,1,
datetime,1,
dt,1,
operator,1,
itemgetter,1,
OrderedDict,1,
pathlib,1,
Path,1,
script_data,1,
{,1,
"""names"":",1,
"['Common',",1,
"'Latin',",1,
"'Greek',",1,
"'Cyrillic',",1,
"'Armenian',",1,
"'Hebrew',",1,
"'Arabic',",1,
"'Syriac',",1,
"'Thaana',",1,
"'Devanagari',",1,
"'Bengali',",1,
"'Gurmukhi',",1,
"'Gujarati',",1,
"'Oriya',",1,
"'Tamil',",1,
"'Telugu',",1,
"'Kannada',",1,
"'Malayalam',",1,
"'Sinhala',",1,
"'Thai',",1,
"'Lao',",1,
"'Tibetan',",1,
"'Myanmar',",1,
"'Georgian',",1,
"'Hangul',",1,
"'Ethiopic',",1,
"'Cherokee',",1,
"'Canadian_Aboriginal',",1,
"'Ogham',",1,
"'Runic',",1,
"'Khmer',",1,
"'Mongolian',",1,
"'Hiragana',",1,
"'Katakana',",1,
"'Bopomofo',",1,
"'Han',",1,
"'Yi',",1,
"'Old_Italic',",1,
"'Gothic',",1,
"'Deseret',",1,
"'Inherited',",1,
"'Tagalog',",1,
"'Hanunoo',",1,
"'Buhid',",1,
"'Tagbanwa',",1,
"'Limbu',",1,
"'Tai_Le',",1,
"'Linear_B',",1,
"'Ugaritic',",1,
"'Shavian',",1,
"'Osmanya',",1,
"'Cypriot',",1,
"'Braille',",1,
"'Buginese',",1,
"'Coptic',",1,
"'New_Tai_Lue',",1,
"'Glagolitic',",1,
"'Tifinagh',",1,
"'Syloti_Nagri',",1,
"'Old_Persian',",1,
"'Kharoshthi',",1,
"'Balinese',",1,
"'Cuneiform',",1,
"'Phoenician',",1,
"'Phags_Pa',",1,
"'Nko',",1,
"'Sundanese',",1,
"'Lepcha',",1,
"'Ol_Chiki',",1,
"'Vai',",1,
"'Saurashtra',",1,
"'Kayah_Li',",1,
"'Rejang',",1,
"'Lycian',",1,
"'Carian',",1,
"'Lydian',",1,
"'Cham',",1,
"'Tai_Tham',",1,
"'Tai_Viet',",1,
"'Avestan',",1,
"'Egyptian_Hieroglyphs',",1,
"'Samaritan',",1,
"'Lisu',",1,
"'Bamum',",1,
"'Javanese',",1,
"'Meetei_Mayek',",1,
"'Imperial_Aramaic',",1,
"'Old_South_Arabian',",1,
"'Inscriptional_Parthian',",1,
"'Inscriptional_Pahlavi',",1,
"'Old_Turkic',",1,
"'Kaithi',",1,
"'Batak',",1,
"'Brahmi',",1,
"'Mandaic',",1,
"'Chakma',",1,
"'Meroitic_Cursive',",1,
"'Meroitic_Hieroglyphs',",1,
"'Miao',",1,
"'Sharada',",1,
"'Sora_Sompeng',",1,
"'Takri'],",1,
"""cats"":",1,
"['Cc',",1,
"'Zs',",1,
"'Po',",1,
"'Sc',",1,
"'Ps',",1,
"'Pe',",1,
"'Sm',",1,
"'Pd',",1,
"'Nd',",1,
