char,count,code,unicode_hex,name,script,cat,bytes,bidi,combining,eaw,mirrored,simplified,traditional,filename
Q,7,81,51,LATIN CAPITAL LETTER Q,Latin,Lu,1,L,0,Na,0,,,en-Btn_edited_2024_06_17.txt
2,6,50,32,DIGIT TWO,Common,Nd,1,EN,0,Na,0,,,en-Btn_edited_2024_06_17.txt
X,5,88,58,LATIN CAPITAL LETTER X,Latin,Lu,1,L,0,Na,0,,,en-Btn_edited_2024_06_17.txt
1,5,49,31,DIGIT ONE,Common,Nd,1,EN,0,Na,0,,,en-Btn_edited_2024_06_17.txt
U,4,85,55,LATIN CAPITAL LETTER U,Latin,Lu,1,L,0,Na,0,,,en-Btn_edited_2024_06_17.txt
3,4,51,33,DIGIT THREE,Common,Nd,1,EN,0,Na,0,,,en-Btn_edited_2024_06_17.txt
­,3,173,AD,SOFT HYPHEN,Common,Cf,2,BN,0,A,0,,,en-Btn_edited_2024_06_17.txt
*,2,42,2A,ASTERISK,Common,Po,1,ON,0,Na,0,,,en-Btn_edited_2024_06_17.txt
8,2,56,38,DIGIT EIGHT,Common,Nd,1,EN,0,Na,0,,,en-Btn_edited_2024_06_17.txt
0,2,48,30,DIGIT ZERO,Common,Nd,1,EN,0,Na,0,,,en-Btn_edited_2024_06_17.txt
7,2,55,37,DIGIT SEVEN,Common,Nd,1,EN,0,Na,0,,,en-Btn_edited_2024_06_17.txt
V,1,86,56,LATIN CAPITAL LETTER V,Latin,Lu,1,L,0,Na,0,,,en-Btn_edited_2024_06_17.txt
_,1,95,5F,LOW LINE,Common,Pc,1,ON,0,Na,0,,,en-Btn_edited_2024_06_17.txt
5,1,53,35,DIGIT FIVE,Common,Nd,1,EN,0,Na,0,,,en-Btn_edited_2024_06_17.txt
6,1,54,36,DIGIT SIX,Common,Nd,1,EN,0,Na,0,,,en-Btn_edited_2024_06_17.txt
4,1,52,34,DIGIT FOUR,Common,Nd,1,EN,0,Na,0,,,en-Btn_edited_2024_06_17.txt
