char,count,code,unicode_hex,name,script,cat,bytes,bidi,combining,eaw,mirrored,simplified,traditional
ྤ,1597,4004,FA4,TIBETAN SUBJOINED LETTER PA,Tibetan,Mn,3,NSM,0,N,0,,
ཝ,1489,3933,F5D,TIBETAN LETTER WA,Tibetan,Lo,3,L,0,N,0,,
ꩰ,1471,43632,AA70,MYANMAR MODIFIER LETTER KHAMTI REDUPLICATION,Myanmar,Lm,3,L,0,N,0,,
?,995,63,3F,QUESTION MARK,Common,Po,1,ON,0,Na,0,,
ႚ,789,4250,109A,MYANMAR SIGN KHAMTI TONE-1,Myanmar,Mc,3,L,0,N,0,,
',771,39,27,APOSTROPHE,Common,Po,1,ON,0,Na,0,,
ྩ,770,4009,FA9,TIBETAN SUBJOINED LETTER TSA,Tibetan,Mn,3,NSM,0,N,0,,
ྔ,629,3988,F94,TIBETAN SUBJOINED LETTER NGA,Tibetan,Mn,3,NSM,0,N,0,,
ྒ,562,3986,F92,TIBETAN SUBJOINED LETTER GA,Tibetan,Mn,3,NSM,0,N,0,,
ꩥ,559,43621,AA65,MYANMAR LETTER KHAMTI NYA,Myanmar,Lo,3,L,0,N,0,,
ꩴ,538,43636,AA74,MYANMAR LOGOGRAM KHAMTI OAY,Myanmar,Lo,3,L,0,N,0,,
ྗ,484,3991,F97,TIBETAN SUBJOINED LETTER JA,Tibetan,Mn,3,NSM,0,N,0,,
ၿ,399,4223,107F,MYANMAR LETTER SHAN BA,Myanmar,Lo,3,L,0,N,0,,
ྙ,367,3993,F99,TIBETAN SUBJOINED LETTER NYA,Tibetan,Mn,3,NSM,0,N,0,,
ྕ,363,3989,F95,TIBETAN SUBJOINED LETTER CA,Tibetan,Mn,3,NSM,0,N,0,,
ႄ,320,4228,1084,MYANMAR VOWEL SIGN SHAN E,Myanmar,Mc,3,L,0,N,0,,
ླ,244,4019,FB3,TIBETAN SUBJOINED LETTER LA,Tibetan,Mn,3,NSM,0,N,0,,
ၻ,224,4219,107B,MYANMAR LETTER SHAN DA,Myanmar,Lo,3,L,0,N,0,,
༽,133,3901,F3D,TIBETAN MARK ANG KHANG GYAS,Tibetan,Pe,3,ON,0,N,1,,
༼,132,3900,F3C,TIBETAN MARK ANG KHANG GYON,Tibetan,Ps,3,ON,0,N,1,,
0,131,48,30,DIGIT ZERO,Common,Nd,1,EN,0,Na,0,,
ྣ,97,4003,FA3,TIBETAN SUBJOINED LETTER NA,Tibetan,Mn,3,NSM,0,N,0,,
ྨ,91,4008,FA8,TIBETAN SUBJOINED LETTER MA,Tibetan,Mn,3,NSM,0,N,0,,
ႊ,60,4234,108A,MYANMAR SIGN SHAN TONE-6,Myanmar,Mc,3,L,0,N,0,,
1,53,49,31,DIGIT ONE,Common,Nd,1,EN,0,Na,0,,
ྦ,45,4006,FA6,TIBETAN SUBJOINED LETTER BA,Tibetan,Mn,3,NSM,0,N,0,,
2,44,50,32,DIGIT TWO,Common,Nd,1,EN,0,Na,0,,
:,43,58,3A,COLON,Common,Po,1,CS,0,Na,0,,
4,42,52,34,DIGIT FOUR,Common,Nd,1,EN,0,Na,0,,
ཊ,40,3914,F4A,TIBETAN LETTER TTA,Tibetan,Lo,3,L,0,N,0,,
ྫ,38,4011,FAB,TIBETAN SUBJOINED LETTER DZA,Tibetan,Mn,3,NSM,0,N,0,,
5,35,53,35,DIGIT FIVE,Common,Nd,1,EN,0,Na,0,,
3,34,51,33,DIGIT THREE,Common,Nd,1,EN,0,Na,0,,
​,31,8203,200B,ZERO WIDTH SPACE,Common,Cf,3,BN,0,N,0,,
!,25,33,21,EXCLAMATION MARK,Common,Po,1,ON,0,Na,0,,
9,21,57,39,DIGIT NINE,Common,Nd,1,EN,0,Na,0,,
6,21,54,36,DIGIT SIX,Common,Nd,1,EN,0,Na,0,,
;,21,59,3B,SEMICOLON,Common,Po,1,ON,0,Na,0,,
7,20,55,37,DIGIT SEVEN,Common,Nd,1,EN,0,Na,0,,
ཾ,20,3966,F7E,TIBETAN SIGN RJES SU NGA RO,Tibetan,Mn,3,NSM,0,N,0,,
8,19,56,38,DIGIT EIGHT,Common,Nd,1,EN,0,Na,0,,
ྷ,18,4023,FB7,TIBETAN SUBJOINED LETTER HA,Tibetan,Mn,3,NSM,0,N,0,,
႐,15,4240,1090,MYANMAR SHAN DIGIT ZERO,Myanmar,Nd,3,L,0,N,0,,
༎,12,3854,F0E,TIBETAN MARK NYIS SHAD,Tibetan,Po,3,L,0,N,0,,
ံ,11,4150,1036,MYANMAR SIGN ANUSVARA,Myanmar,Mn,3,NSM,0,N,0,,
ꩶ,8,43638,AA76,MYANMAR LOGOGRAM KHAMTI HM,Myanmar,Lo,3,L,0,N,0,,
႔,7,4244,1094,MYANMAR SHAN DIGIT FOUR,Myanmar,Nd,3,L,0,N,0,,
႖,6,4246,1096,MYANMAR SHAN DIGIT SIX,Myanmar,Nd,3,L,0,N,0,,
႑,6,4241,1091,MYANMAR SHAN DIGIT ONE,Myanmar,Nd,3,L,0,N,0,,
ႀ,4,4224,1080,MYANMAR LETTER SHAN THA,Myanmar,Lo,3,L,0,N,0,,
႒,4,4242,1092,MYANMAR SHAN DIGIT TWO,Myanmar,Nd,3,L,0,N,0,,
ꩲ,3,43634,AA72,MYANMAR LETTER KHAMTI ZA,Myanmar,Lo,3,L,0,N,0,,
-,3,45,2D,HYPHEN-MINUS,Common,Pd,1,ES,0,Na,0,,
),2,41,29,RIGHT PARENTHESIS,Common,Pe,1,ON,0,Na,1,,
(,1,40,28,LEFT PARENTHESIS,Common,Ps,1,ON,0,Na,1,,
႘,1,4248,1098,MYANMAR SHAN DIGIT EIGHT,Myanmar,Nd,3,L,0,N,0,,
႕,1,4245,1095,MYANMAR SHAN DIGIT FIVE,Myanmar,Nd,3,L,0,N,0,,
႗,1,4247,1097,MYANMAR SHAN DIGIT SEVEN,Myanmar,Nd,3,L,0,N,0,,
ꩱ,1,43633,AA71,MYANMAR LETTER KHAMTI XA,Myanmar,Lo,3,L,0,N,0,,
ྥ,1,4005,FA5,TIBETAN SUBJOINED LETTER PHA,Tibetan,Mn,3,NSM,0,N,0,,
